name;group;type;obj_value_hx;gap_hx;n_vehicles_used_hx;time_hx
lr204;06R_06V_04I_04M;t2;587.7;100;0.33;3600
lr205;06R_06V_04I_03M;t2;535.22;0;0.17;2836
lr205;06R_06V_04I_04M;t2;535.22;30.18;0.17;3600
lr201;08R_08V_02I_03M;t2;948.09;53.37;0.25;3600
lr202;08R_08V_02I_03M;t2;707.53;100;0.38;3600
lr203;08R_08V_02I_03M;t2;725.86;100;0.38;3600
lr204;08R_08V_02I_03M;t2;726.75;100;0.25;3600
lr205;08R_08V_02I_03M;t2;647.89;100;0.25;3600
lr201;08R_08V_04I_03M;t2;1024.13;100;0.25;3600
lr202;08R_08V_04I_03M;t2;811.81;100;0.38;3600
lr203;08R_08V_04I_03M;t2;853.48;100;0.25;3600
lr204;08R_08V_04I_03M;t2;NA;Inf;0;3600
lr205;08R_08V_04I_03M;t2;708.96;100;0.25;3600
lr201;10R_10V_02I_03M;t2;1110.28;100;0.2;3600
lr202;10R_10V_02I_03M;t2;983.77;100;0.5;3600
lr203;10R_10V_02I_03M;t2;849.35;100;0.2;3601
lr204;10R_10V_02I_03M;t2;936.13;100;0.3;3600
lr205;10R_10V_02I_03M;t2;893.87;100;0.4;3600
lr201;10R_10V_04I_03M;t2;1371.36;100;0.4;3600
lr202;10R_10V_04I_03M;t2;1100.98;100;0.3;3600
lr203;10R_10V_04I_03M;t2;919.89;100;0.2;3600
lr204;10R_10V_04I_03M;t2;NA;Inf;0;3665
lr205;10R_10V_04I_03M;t2;987.42;100;0.3;3600
lr201;12R_12V_02I_03M;t2;1456.41;100;0.25;3600
lr202;12R_12V_02I_03M;t2;1157.15;100;0.25;3600
lr203;12R_12V_02I_03M;t2;1467.47;100;0.25;3602
lr204;12R_12V_02I_03M;t2;NA;Inf;0;3617
lr205;12R_12V_02I_03M;t2;1173.24;100;0.17;3600
lr201;12R_12V_04I_03M;t2;1544.45;100;0.42;3600
lr202;12R_12V_04I_03M;t2;NA;Inf;0;3602
lr203;12R_12V_04I_03M;t2;NA;Inf;0;3603
lr204;12R_12V_04I_03M;t2;NA;Inf;0;3600
lr205;12R_12V_04I_03M;t2;1273.31;100;0.25;3600
lr201;08R_08V_02I_04M;t2;944.72;44.51;0.25;3600
lr202;08R_08V_02I_04M;t2;695.62;100;0.25;3600
lr203;08R_08V_02I_04M;t2;736.92;100;0.25;3600
lr204;08R_08V_02I_04M;t2;733.24;100;0.38;3600
lr205;08R_08V_02I_04M;t2;643.97;100;0.12;3600
lr201;08R_08V_04I_04M;t2;1038.38;100;0.38;3600
lr202;08R_08V_04I_04M;t2;898.82;100;0.5;3600
lr203;08R_08V_04I_04M;t2;832.44;100;0.25;3600
lr204;08R_08V_04I_04M;t2;NA;Inf;0;3600
lr205;08R_08V_04I_04M;t2;701.97;100;0.25;3600
lr201;10R_10V_02I_04M;t2;1213.91;100;0.5;3600
lr202;10R_10V_02I_04M;t2;862.76;100;0.5;3600
lr203;10R_10V_02I_04M;t2;971.2;100;0.2;3600
lr204;10R_10V_02I_04M;t2;NA;Inf;0;3636
lr205;10R_10V_02I_04M;t2;814.96;100;0.2;3600
lr201;10R_10V_04I_04M;t2;1293.16;100;0.5;3600
lr202;10R_10V_04I_04M;t2;NA;Inf;0;3601
lr203;10R_10V_04I_04M;t2;1342.94;100;0.6;3652
lr204;10R_10V_04I_04M;t2;NA;Inf;0;3604
lr205;10R_10V_04I_04M;t2;1029.52;100;0.2;3600
lr201;12R_12V_02I_04M;t2;1326.12;100;0.25;3600
lr202;12R_12V_02I_04M;t2;1170.38;100;0.17;3600
lr203;12R_12V_02I_04M;t2;NA;Inf;0;3705
lr204;12R_12V_02I_04M;t2;NA;Inf;0;3631
lr205;12R_12V_02I_04M;t2;1215.41;100;0.25;3600
lr201;12R_12V_04I_04M;t2;1755.01;100;0.33;3600
lr202;12R_12V_04I_04M;t2;NA;Inf;0;3603
lr203;12R_12V_04I_04M;t2;1941.96;100;0.25;3600
lr204;12R_12V_04I_04M;t2;NA;Inf;0;3600
lr205;12R_12V_04I_04M;t2;NA;Inf;0;3603
